价格 价差 真实标签 预测标签 原仓位 预测仓位
5492.60 3.20 1.00 1.00 0.50 0.50
5495.80 2.20 -1.00 -2.00 -0.50 -1.00
5498.00 -0.40 -2.00 0.00 -1.00 0.00
5497.60 -4.80 -2.00 -2.00 -1.00 -1.00
5492.80 4.00 0.00 -1.00 0.00 -0.50
5496.80 2.20 -2.00 2.00 -1.00 1.00
5499.00 -1.60 -2.00 -1.00 -1.00 -0.50
5497.40 -0.20 -2.00 -2.00 -1.00 -1.00
5497.20 -6.60 -2.00 0.00 -1.00 0.00
5490.60 -2.80 0.00 0.00 0.00 0.00
5487.80 3.00 1.00 0.00 0.50 0.00
5490.80 1.60 -1.00 2.00 -0.50 1.00
5492.40 -2.60 -2.00 -1.00 -1.00 -0.50
5489.80 1.20 0.00 2.00 0.00 1.00
5491.00 -2.40 -2.00 -1.00 -1.00 -0.50
5488.60 3.00 0.00 -1.00 0.00 -0.50
5491.60 0.60 -2.00 -2.00 -1.00 -1.00
5492.20 -3.40 -2.00 -2.00 -1.00 -1.00
5488.80 1.00 -2.00 -1.00 -1.00 -0.50
5489.80 2.80 -2.00 -1.00 -1.00 -0.50
5492.60 -3.20 -2.00 0.00 -1.00 0.00
5489.40 -1.20 -2.00 -1.00 -1.00 -0.50
5488.20 -5.00 -2.00 -1.00 -1.00 -0.50
5483.20 1.40 -2.00 2.00 -1.00 1.00
5484.60 2.40 -2.00 1.00 -1.00 0.50
5487.00 0.00 -2.00 1.00 -1.00 0.50
5487.00 -3.20 -2.00 -2.00 -1.00 -1.00
5483.80 0.20 -2.00 1.00 -1.00 0.50
5484.00 -1.20 -2.00 2.00 -1.00 1.00
5482.80 -5.40 -2.00 -1.00 -1.00 -0.50
5477.40 -1.40 1.00 1.00 0.50 0.50
5476.00 2.00 2.00 -2.00 1.00 -1.00
5478.00 0.20 1.00 2.00 0.50 1.00
5478.20 -2.00 1.00 1.00 0.50 0.50
5476.20 -2.60 2.00 0.00 1.00 0.00
5473.60 5.20 2.00 2.00 1.00 1.00
5478.80 7.40 2.00 0.00 1.00 0.00
5486.20 0.80 -2.00 0.00 -1.00 0.00
5487.00 -4.20 -2.00 1.00 -1.00 0.50
5482.80 -2.80 0.00 1.00 0.00 0.50
5480.00 -2.00 2.00 0.00 1.00 0.00
5478.00 -2.00 2.00 -2.00 1.00 -1.00
5476.00 0.40 2.00 0.00 1.00 0.00
