GPU device ID: 3
newdata/50_2020.npy
0
Model(
  (attn): MultiheadAttention(
    (out_proj): NonDynamicallyQuantizableLinear(in_features=10, out_features=10, bias=True)
  )
  (fc): Linear(in_features=10, out_features=5, bias=True)
)
number of parameters: 495
Training start
epoch  1 | time used:  0.56s | train_loss 1.488 | valid loss 1.529 | valid acc 0.346 | mae 2.389 | mse 9.136 | rmse 3.02 | r2 -1.66 | sharp 0.00
epoch  2 | time used:  0.13s | train_loss 1.491 | valid loss 1.335 | valid acc 0.535 | mae 1.611 | mse 6.026 | rmse 2.45 | r2 -0.76 | sharp -0.01
epoch  3 | time used:  0.13s | train_loss 1.462 | valid loss 1.335 | valid acc 0.535 | mae 1.611 | mse 6.026 | rmse 2.45 | r2 -0.76 | sharp -0.01
epoch  4 | time used:  0.13s | train_loss 1.456 | valid loss 1.335 | valid acc 0.535 | mae 1.611 | mse 6.026 | rmse 2.45 | r2 -0.76 | sharp -0.01
epoch  5 | time used:  0.13s | train_loss 1.461 | valid loss 1.335 | valid acc 0.535 | mae 1.611 | mse 6.026 | rmse 2.45 | r2 -0.76 | sharp -0.01
epoch  6 | time used:  0.13s | train_loss 1.464 | valid loss 1.336 | valid acc 0.535 | mae 1.611 | mse 6.026 | rmse 2.45 | r2 -0.76 | sharp -0.01
epoch  7 | time used:  0.13s | train_loss 1.464 | valid loss 1.335 | valid acc 0.535 | mae 1.611 | mse 6.026 | rmse 2.45 | r2 -0.76 | sharp -0.01
epoch  8 | time used:  0.13s | train_loss 1.455 | valid loss 1.335 | valid acc 0.535 | mae 1.611 | mse 6.026 | rmse 2.45 | r2 -0.76 | sharp -0.01
epoch  9 | time used:  0.13s | train_loss 1.480 | valid loss 1.529 | valid acc 0.346 | mae 2.389 | mse 9.136 | rmse 3.02 | r2 -1.66 | sharp 0.00
epoch 10 | time used:  0.13s | train_loss 1.478 | valid loss 1.529 | valid acc 0.346 | mae 2.389 | mse 9.136 | rmse 3.02 | r2 -1.66 | sharp 0.00
saving the model to ./save/2020_50/Attention/checkpoint10.pt
epoch 11 | time used:  0.13s | train_loss 1.481 | valid loss 1.528 | valid acc 0.346 | mae 2.389 | mse 9.136 | rmse 3.02 | r2 -1.66 | sharp 0.00
epoch 12 | time used:  0.13s | train_loss 1.471 | valid loss 1.336 | valid acc 0.535 | mae 1.611 | mse 6.026 | rmse 2.45 | r2 -0.76 | sharp -0.01
epoch 13 | time used:  0.13s | train_loss 1.466 | valid loss 1.529 | valid acc 0.346 | mae 2.389 | mse 9.136 | rmse 3.02 | r2 -1.66 | sharp 0.00
