GPU device ID: 1
newdata/50_2020.npy
0
Model(
  (conv1): Conv1d(10, 64, kernel_size=(3,), stride=(1,), padding=(1,))
  (conv2): Conv1d(64, 64, kernel_size=(3,), stride=(1,), padding=(1,))
  (pool): MaxPool1d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  (fc): Linear(in_features=512, out_features=5, bias=True)
)
number of parameters: 16901
Training start
epoch  1 | time used:  1.30s | train_loss 1.538 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch  2 | time used:  0.11s | train_loss 1.534 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch  3 | time used:  0.11s | train_loss 1.533 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch  4 | time used:  0.11s | train_loss 1.535 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch  5 | time used:  0.11s | train_loss 1.539 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch  6 | time used:  0.11s | train_loss 1.537 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch  7 | time used:  0.11s | train_loss 1.534 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch  8 | time used:  0.11s | train_loss 1.534 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch  9 | time used:  0.11s | train_loss 1.538 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
epoch 10 | time used:  0.11s | train_loss 1.531 | valid loss 1.429 | valid acc 0.396 | mae 1.765 | mse 5.912 | rmse 2.43 | r2 -1.11 | sharp 0.29
saving the model to ./save/2020_50/CNN/checkpoint10.pt
