GPU device ID: 2
newdata/50_2020.npy
0
Model(
  (rnn): GRU(10, 64, batch_first=True)
  (fc): Linear(in_features=64, out_features=5, bias=True)
)
number of parameters: 14917
Training start
epoch  1 | time used:  0.74s | train_loss 1.496 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch  2 | time used:  0.13s | train_loss 1.447 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch  3 | time used:  0.13s | train_loss 1.441 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch  4 | time used:  0.13s | train_loss 1.487 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch  5 | time used:  0.13s | train_loss 1.501 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch  6 | time used:  0.13s | train_loss 1.444 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch  7 | time used:  0.13s | train_loss 1.443 | valid loss 1.467 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch  8 | time used:  0.13s | train_loss 1.446 | valid loss 1.486 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
epoch  9 | time used:  0.13s | train_loss 1.515 | valid loss 1.468 | valid acc 0.354 | mae 2.009 | mse 7.016 | rmse 2.65 | r2 -1.35 | sharp 0.00
epoch 10 | time used:  0.13s | train_loss 1.518 | valid loss 1.490 | valid acc 0.355 | mae 1.991 | mse 6.946 | rmse 2.64 | r2 -1.33 | sharp 1.28
saving the model to ./save/2020_50/GRU/checkpoint10.pt
